verb,agency,power
scars,agency_pos,power_agent
scatters,agency_pos,power_agent
schedules,agency_pos,power_agent
scoffs,agency_pos,
scoops,agency_pos,power_agent
scoots,agency_pos,
scorches,agency_pos,power_agent
scores,agency_pos,power_equal
scours,agency_pos,power_agent
scowls,agency_pos,
scrambles,agency_pos,power_agent
scrapes,agency_pos,power_agent
scraps,agency_pos,power_agent
scratches,agency_pos,power_agent
scrawls,agency_pos,power_equal
screams,agency_pos,
screeches,agency_pos,
screens,agency_equal,power_agent
scribbles,agency_pos,power_equal
scrolls,agency_equal,
scrubs,agency_pos,power_agent
scrunches,agency_pos,
scrutinizes,agency_pos,power_agent
scurries,agency_pos,
scuttles,agency_pos,
seals,agency_pos,power_agent
searches,agency_pos,power_agent
sears,agency_pos,power_agent
secures,agency_pos,power_agent
seduces,agency_pos,power_agent
seems,agency_neg,
sees,agency_neg,power_equal
seethes,agency_pos,
seizes,agency_pos,power_agent
selects,agency_pos,power_agent
sells,agency_pos,power_agent
sends,agency_pos,power_agent
sentences,agency_pos,power_agent
separates,agency_pos,power_agent
sets,agency_pos,power_agent
settles,agency_pos,power_agent
severs,agency_pos,power_agent
sews,agency_pos,power_equal
shades,agency_pos,power_equal
shakes,agency_pos,power_agent
shapes,agency_pos,power_agent
shares,agency_pos,power_agent
sharpens,agency_pos,power_agent
shatters,agency_pos,power_agent
shaves,agency_pos,power_agent
sheds,agency_pos,power_agent
shells,agency_pos,power_agent
shelters,agency_pos,power_agent
shields,agency_pos,power_agent
shifts,agency_pos,power_agent
shimmers,agency_neg,
shines,agency_equal,
shins,agency_equal,
ships,agency_pos,power_agent
shivers,agency_equal,
shocks,agency_pos,power_agent
shooes,,power_agent
shoos,agency_pos,
shoots,agency_pos,power_agent
shops,agency_pos,
shoulders,agency_pos,power_agent
shouts,agency_pos,power_agent
shovels,agency_pos,power_agent
shoves,agency_pos,power_agent
shows,agency_pos,power_agent
shreds,agency_pos,power_agent
shrieks,agency_pos,power_agent
shrinks,agency_pos,power_agent
shrouds,agency_pos,power_agent
shrugs,agency_pos,
shudders,agency_neg,
shuffles,agency_pos,power_agent
shushes,agency_pos,power_agent
shuts,agency_pos,power_agent
sickens,agency_pos,power_agent
sides,agency_equal,
sidesteps,agency_pos,power_agent
sifts,agency_pos,power_agent
sighs,agency_equal,
sights,agency_pos,power_equal
signals,agency_pos,power_equal
signs,agency_pos,power_equal
silences,agency_pos,power_agent
simmers,agency_pos,power_agent
singles out,agency_pos,power_agent
sings,agency_pos,power_agent
sinks,agency_pos,power_agent
sips,agency_pos,power_agent
sits,agency_neg,
situates,agency_pos,power_agent
sizes,agency_equal,power_agent
sizzles,agency_equal,
skates,agency_pos,power_agent
sketches,agency_pos,power_equal
skids,agency_equal,
skims,agency_pos,power_agent
skins,agency_pos,power_agent
skips,agency_neg,power_agent
skitters,agency_equal,
slams,agency_pos,power_agent
slants,agency_neg,
slaps,agency_pos,power_agent
slashes,agency_pos,power_agent
slaughters,agency_pos,power_agent
slays,agency_pos,power_agent
sleeps,agency_neg,
slices,agency_pos,power_agent
slicks,agency_equal,power_agent
slides,agency_equal,power_agent
slings,agency_pos,power_agent
slinks,agency_neg,
slips,agency_pos,power_agent
slithers,agency_pos,
slits,agency_pos,power_agent
slops,agency_pos,power_agent
sloshes,agency_equal,
slouches,agency_neg,
slows,agency_pos,power_agent
slugs,agency_pos,power_agent
slumps,agency_neg,
slurps,agency_pos,power_agent
slurs,agency_equal,
smacks,agency_pos,power_agent
smashes,agency_pos,power_agent
smears,agency_pos,power_agent
smiles,agency_pos,
smirks,agency_neg,
smokes,agency_pos,power_agent
smolders,agency_neg,
smooths,agency_pos,power_equal
smothers,agency_pos,power_agent
snags,agency_pos,power_agent
snaps,agency_pos,
snarls at,agency_pos,power_equal
snatches,agency_pos,power_agent
sneaks,agency_pos,power_agent
sneers,agency_pos,
sneezes,agency_pos,
snickers,agency_neg,
sniffs,agency_equal,
snips,agency_pos,power_agent
snoops,agency_pos,
snores,agency_neg,
snorts,agency_pos,
snows,agency_neg,
snuggles,agency_pos,power_equal
soaks,agency_pos,power_agent
soars,agency_pos,
sobers,agency_pos,power_agent
sobs,agency_neg,
softens,agency_pos,power_equal
soils,agency_pos,power_agent
solicits,agency_pos,power_agent
solves,agency_pos,power_agent
soothes,agency_pos,power_equal
sorts,agency_pos,power_equal
sounds,agency_pos,power_equal
spaces,agency_pos,power_agent
spans,agency_neg,power_agent
spares,agency_pos,power_agent
sparkles,agency_neg,
sparks,agency_pos,power_agent
spars,agency_pos,power_equal
spatters,agency_equal,
speaks,agency_pos,
speaks to,agency_pos,power_equal
specifies,agency_pos,power_equal
speeds,agency_pos,
speeds up,agency_pos,power_equal
spells,agency_equal,power_equal
spends,agency_pos,power_agent
spews,agency_pos,power_agent
spies,agency_pos,power_equal
spikes,agency_pos,power_agent
spills,agency_pos,power_agent
spins,agency_pos,power_agent
spirals,agency_pos,
spits at,agency_pos,power_agent
splashes,agency_pos,
splatters,agency_pos,power_agent
splinters,agency_pos,power_agent
splits,agency_pos,power_agent
spoils,agency_pos,power_equal
sponsors,agency_pos,power_agent
spooks,agency_pos,power_agent
sports,agency_equal,power_equal
spots,agency_neg,power_agent
sprawls,agency_equal,
sprays,agency_pos,power_agent
spreads,agency_pos,power_agent
springs,agency_pos,
sprinkles,agency_pos,power_agent
sprints,agency_pos,
sprouts,agency_pos,
spurs,agency_pos,power_agent
sputters,agency_pos,
squares,agency_pos,power_agent
squashes,agency_pos,power_agent
squats,agency_pos,
squeaks,agency_equal,
squeals,agency_equal,
squeezes,agency_pos,power_agent
squints,agency_equal,
squirms,agency_equal,
squirts,agency_pos,power_equal
stabilizes,agency_pos,power_agent
stabs,agency_pos,power_agent
stacks,agency_pos,power_agent
staggers,agency_equal,
stains,agency_pos,power_agent
stakes,agency_pos,power_agent
stalls,agency_pos,power_agent
stamps,agency_pos,power_agent
stands,agency_equal,
stares,agency_neg,
stars,agency_pos,power_equal
startles,agency_pos,power_equal
starts,agency_pos,power_agent
starves,agency_pos,power_agent
stashes,agency_pos,power_agent
states,agency_pos,power_equal
stations,agency_pos,power_agent
stays,agency_neg,
steadies,agency_pos,power_agent
steals,agency_pos,power_agent
steams,agency_pos,power_agent
steels,agency_pos,power_agent
steers,agency_pos,power_agent
stencils,agency_pos,power_agent
steps,agency_pos,
sticks,agency_pos,
stiffens,agency_pos,power_equal
stifles,agency_pos,power_agent
stimulates,agency_pos,power_equal
stings,agency_pos,power_agent
stinks,agency_neg,
stirs,agency_pos,power_agent
stitches,agency_pos,power_equal
stocks,agency_pos,power_equal
stomps,agency_pos,
stones,agency_pos,power_agent
stoops,agency_equal,
stops,agency_pos,power_agent
stores,agency_pos,power_agent
storms,agency_pos,power_agent
stows,agency_pos,power_agent
straddles,agency_pos,power_agent
straightens,agency_pos,power_agent
strains,agency_pos,power_agent
strands,agency_pos,power_agent
strangles,agency_pos,power_agent
strangles on,agency_equal,power_agent
straps,agency_pos,power_agent
strays,agency_pos,
streams,agency_pos,
strengthens,agency_pos,power_agent
stresses,agency_pos,power_agent
stretches,agency_pos,
strides,agency_pos,
strikes,agency_pos,power_agent
strings,agency_pos,power_agent
strips,agency_pos,power_agent
strokes,agency_pos,power_equal
strolls,agency_equal,
struts,agency_pos,
stubs,agency_equal,power_agent
studies,agency_pos,power_equal
stuffs,agency_pos,power_agent
stumbles,agency_neg,
stuns,agency_pos,power_agent
subdues,agency_pos,power_agent
submerges,agency_pos,power_agent
submits,agency_pos,power_equal
subsides,agency_neg,
succeeds,agency_pos,power_agent
sues,agency_pos,power_agent
suffocates,agency_pos,power_agent
suggests,agency_pos,power_agent
sulks,agency_neg,
summons,agency_pos,power_agent
superimposes,agency_pos,power_agent
supervises,agency_pos,power_agent
supplies,agency_pos,power_agent
supports,agency_pos,power_equal
supposes,agency_equal,power_equal
suppresses,agency_pos,power_agent
surfaces,agency_pos,
surfs,agency_pos,
surges,agency_pos,
surprises,agency_pos,power_equal
surrenders,agency_neg,power_agent
surrounds,agency_pos,power_agent
surveys,agency_pos,power_equal
survives,agency_neg,power_equal
suspects,agency_pos,power_equal
suspends,agency_pos,power_agent
sustains,agency_pos,power_agent
swallows,agency_pos,power_agent
swaps,agency_pos,power_agent
swarms,agency_pos,
swats,agency_pos,power_agent
sways,agency_pos,power_agent
swears,agency_pos,power_agent
sweats,agency_neg,
sweeps,agency_pos,power_agent
swells,agency_equal,
swerves,agency_pos,
swigs,agency_pos,power_equal
swims,agency_pos,
swings,agency_pos,power_agent
swipes,agency_pos,power_agent
swirls,agency_pos,power_agent
switches,agency_pos,power_agent
swivels,agency_pos,power_agent
swoops,agency_pos,
tackles,agency_pos,power_agent
tacks,agency_pos,power_agent
tags,agency_pos,power_agent
tailors,agency_pos,power_equal
takes,agency_pos,power_equal
talks,agency_pos,
talks to,agency_pos,power_equal
tangles,agency_pos,power_agent
taps,agency_equal,power_equal
targets,agency_pos,power_agent
tastes,agency_pos,power_agent
tattooes,,power_agent
tattoos,agency_pos,
taunts,agency_pos,power_agent
taxis,agency_pos,
teaches,agency_pos,power_agent
tears,agency_pos,power_agent
teases,agency_pos,power_agent
teeters,agency_neg,
telephones,agency_pos,power_equal
tells,agency_pos,power_equal
tempts,agency_pos,power_agent
tends,agency_pos,power_agent
tenses,agency_pos,power_equal
terminates,agency_pos,power_agent
terms,agency_pos,power_agent
terrifies,agency_pos,power_agent
testifies,agency_pos,power_equal
tests,agency_pos,power_agent
tethers,agency_pos,power_agent
thaws,agency_pos,power_agent
thinks,agency_pos,power_equal
thins,agency_pos,power_agent
thrashes,agency_pos,power_agent
threads,agency_pos,
threatens,agency_pos,power_agent
thrills,agency_pos,power_agent
throbs,agency_neg,
throttles,agency_pos,power_agent
throws,agency_pos,power_agent
thrusts,agency_pos,power_agent
thumbs,agency_equal,
thumps,agency_pos,power_agent
thunders,agency_pos,
tickles,agency_pos,power_equal
ticks off,agency_equal,power_equal
tidies,agency_pos,power_agent
ties,agency_pos,power_equal
tightens,agency_pos,power_agent
tilts,agency_pos,power_agent
times,agency_pos,power_agent
tings,agency_pos,
tiptoes,agency_pos,
tires,agency_equal,power_agent
toasts,agency_pos,power_equal
tolerates,agency_equal,power_equal
topples,agency_pos,power_agent
tops,agency_pos,power_agent
torments,agency_pos,power_agent
tortures,agency_pos,power_agent
tosses,agency_pos,power_agent
totals,agency_pos,power_agent
towers,agency_neg,
tows,agency_pos,power_agent
toys with,agency_pos,power_agent
tracks,agency_pos,power_agent
trades,agency_pos,power_agent
trails,agency_pos,power_equal
trains,agency_pos,power_agent
tramples,agency_pos,power_agent
transfers,agency_pos,power_agent
transfixes,agency_pos,power_agent
transforms,agency_pos,power_agent
translates,agency_pos,power_agent
transmits,agency_pos,power_equal
transports,agency_pos,power_agent
traps,agency_pos,power_agent
trashes,agency_pos,power_agent
travels,agency_pos,power_agent
treads,agency_pos,
treats,agency_pos,power_agent
trembles,agency_neg,
trickles,agency_neg,
tricks,agency_pos,power_agent
tries,agency_pos,power_equal
triggers,agency_pos,power_agent
trims,agency_pos,power_agent
trips,agency_pos,power_agent
trots,agency_pos,power_equal
troubles,agency_pos,power_agent
trudges,agency_pos,
tucks,agency_pos,power_equal
tugs,agency_pos,power_agent
tumbles,agency_pos,
tunes,agency_pos,power_agent
turns,agency_pos,power_agent
twinkles,agency_equal,
twirls,agency_pos,power_agent
twists,agency_pos,power_agent
twitches,agency_neg,
types,agency_pos,power_equal
unbuckles,agency_pos,power_agent
unbuttons,agency_pos,power_agent
uncovers,agency_pos,power_agent
undergos,agency_neg,
underlies,agency_neg,power_agent
undermines,agency_pos,power_agent
underscores,agency_pos,power_agent
understands,agency_equal,power_agent
undoes,agency_pos,power_agent
undresses,agency_pos,power_agent
undulates,agency_pos,
unfolds,agency_pos,power_agent
unhooks,agency_pos,power_agent
unites,agency_pos,power_agent
unleashes,agency_pos,power_agent
unlocks,agency_pos,power_equal
unnerves,agency_pos,power_agent
unpacks,agency_pos,power_agent
unravels,,power_agent
unrolls,agency_pos,power_agent
unscrews,agency_pos,power_agent
unties,agency_pos,power_agent
unwraps,agency_pos,power_agent
unzips,agency_pos,power_agent
upsets,agency_pos,power_agent
urges,agency_pos,power_equal
uses,agency_pos,power_agent
ushers,agency_equal,power_agent
utters,agency_pos,power_equal
vanishes,agency_neg,
varies,agency_neg,
vaults,agency_pos,power_agent
veers,agency_pos,
vents,agency_pos,power_equal
ventures,agency_pos,
verifies,agency_equal,power_agent
vetoes,,power_agent
vetos,agency_pos,
vibrates,agency_pos,power_agent
views,agency_neg,power_equal
violates,agency_pos,power_agent
voices,agency_pos,power_equal
volunteers,agency_pos,power_equal
wads,agency_pos,power_agent
wags,agency_pos,power_agent
wails,agency_neg,
wait,agency_neg,power_theme
wakes,agency_pos,power_agent
walks,agency_pos,power_agent
walls,agency_pos,power_agent
waltzes,agency_pos,
wanders,agency_neg,
warms,agency_pos,power_agent
warns,agency_pos,power_agent
warrants,agency_equal,power_agent
washes,agency_pos,power_agent
wastes,agency_equal,power_agent
watches,agency_equal,power_agent
waters,agency_pos,power_agent
wavers,agency_equal,
waves,agency_pos,power_equal
weakens,agency_pos,power_agent
wears,agency_pos,power_agent
weaves,agency_pos,power_agent
wedges,agency_pos,power_agent
weeps,agency_neg,
weighs,agency_equal,power_agent
welcomes,agency_pos,power_equal
welds,,power_agent
wells,agency_equal,
wets,agency_pos,power_agent
whacks,agency_pos,power_agent
wheels,agency_pos,power_agent
wheezes,agency_equal,
whimpers,agency_neg,
whines,agency_equal,
whips,agency_pos,power_agent
whirls,agency_pos,power_agent
whirs,agency_pos,
whisks,agency_pos,power_agent
whispers,agency_pos,power_equal
whistles,agency_pos,
whoops,agency_equal,
widens,agency_pos,power_agent
wields,agency_pos,power_agent
wiggles,agency_pos,power_equal
wills,agency_pos,power_agent
winces,agency_neg,
winds,agency_pos,power_agent
winks,agency_equal,
wins,agency_pos,power_agent
wipes,agency_pos,power_agent
wires,agency_pos,power_agent
withdraws,agency_pos,power_agent
withers,agency_neg,
withholds,agency_pos,power_agent
wobbles,agency_neg,
works,agency_pos,
worries,agency_neg,power_equal
worsens,agency_pos,power_agent
worship,agency_pos,power_theme
wounds,agency_pos,power_agent
wracks,agency_pos,power_equal
wraps,agency_pos,power_equal
wrecks,agency_pos,power_agent
wrenches,agency_pos,
wrestles,agency_pos,
wriggles,agency_pos,
wrings,agency_pos,power_agent
writes,agency_pos,power_agent
writhes,agency_equal,
yanks,agency_pos,power_agent
yawns,agency_equal,
yells,agency_pos,
yelps,agency_pos,
yields,agency_equal,power_agent
zaps,agency_pos,power_agent
zips,agency_pos,
zooms,agency_pos,
apologize,agency_pos,power_theme
assist,agency_pos,power_theme
behold,agency_equal,power_theme
browse,agency_pos,power_theme
chase,agency_pos,power_theme
collect,agency_pos,power_theme
comprehend,agency_pos,power_theme
concentrate,agency_equal,power_theme
cram,agency_pos,power_theme
delight,agency_pos,power_theme
desire,agency_neg,power_theme
elaborate,agency_pos,power_theme
envy,agency_equal,power_theme
fill,agency_pos,power_theme
hail,agency_pos,power_theme
jot,agency_pos,power_theme
lug,agency_pos,power_theme
mime,agency_pos,power_theme
mimic,agency_pos,power_theme
nods,agency_pos,power_theme
nuzzle,agency_pos,power_theme
outline,agency_pos,power_theme
peruse,agency_pos,power_theme
please,agency_neg,power_theme
polish,agency_pos,power_theme
reach,agency_pos,power_theme
recall,agency_neg,power_theme
recognize,agency_neg,power_theme
reflect,agency_neg,power_theme
reiterate,agency_equal,power_theme
relieve,agency_pos,power_theme
relishe,agency_neg,power_theme
repulse,agency_neg,power_theme
require,agency_equal,power_theme
touch,agency_pos,power_theme
underestimate,agency_equal,power_theme
adorn,agency_pos,power_theme
aggravate,agency_pos,power_theme
amuse,agency_pos,power_theme
ascend,agency_pos,power_theme
brief,agency_equal,power_theme
dread,agency_neg,power_theme
dwell,agency_equal,power_theme
eyeballs,agency_pos,power_theme
fancy,agency_neg,power_theme
follow,agency_neg,power_theme
hate,agency_neg,power_theme
imitate,agency_equal,power_theme
miss,agency_neg,power_theme
misunderstand,agency_neg,power_theme
radiate,agency_equal,power_theme
repay,agency_pos,power_theme
respect,agency_equal,power_theme
salute,agency_pos,power_theme
sense,agency_neg,power_theme
silhouette,agency_neg,power_theme
stalk,agency_pos,power_theme
struggle,agency_equal,power_theme
subtitle,agency_pos,power_theme
accompany,agency_equal,power_theme
brush,agency_pos,power_theme
chant,agency_pos,power_theme
implore,agency_pos,power_theme
lack,agency_neg,power_theme
massage,agency_pos,power_theme
regard,agency_neg,power_theme
repeat,agency_pos,power_theme
seek,agency_pos,power_theme
shower,agency_pos,power_theme
smell,agency_neg,power_theme
tail,agency_pos,power_theme
unload,agency_pos,power_theme
weather,agency_pos,power_theme
believe,agency_neg,power_theme
compensate,agency_pos,power_theme
compile,agency_pos,power_theme
detect,agency_pos,power_theme
honor,agency_pos,power_theme
incorporate,agency_pos,power_theme
indulge,agency_equal,power_theme
like,agency_equal,power_theme
mingle,agency_pos,power_theme
adore,agency_equal,power_theme
applaud,agency_pos,power_theme
donate,agency_pos,power_theme
entertain,agency_pos,power_theme
evade,agency_pos,power_theme
grieve,agency_neg,power_theme
join,agency_pos,power_theme
mention,agency_equal,power_theme
oblige,agency_equal,power_theme
represent,agency_pos,power_theme
congratulate,agency_equal,power_theme
fulfill,agency_pos,power_theme
obey,agency_neg,power_theme
quote,agency_equal,power_theme
satisfy,agency_pos,power_theme
serve,agency_equal,power_theme
wonder,agency_neg,power_theme
credit,agency_pos,power_theme
defer,agency_equal,power_theme
echo,,power_theme
emit,agency_pos,power_theme
seat,agency_pos,power_theme
cites,agency_pos,power_theme
disappoint,agency_pos,power_theme
experience,agency_neg,power_theme
value,agency_neg,power_theme
wish,agency_neg,power_theme
consult,agency_pos,power_theme
dream,agency_neg,power_theme
endure,agency_neg,power_theme
enforce,agency_pos,power_theme
enjoy,agency_neg,power_theme
learn,agency_equal,power_theme
offend,agency_pos,power_theme
pursue,agency_pos,power_theme
admire,agency_equal,power_theme
answer,agency_equal,power_theme
commemorates,agency_pos,power_theme
contract,agency_pos,power_theme
duck,agency_pos,power_theme
practice,agency_pos,power_theme
regret,agency_neg,power_theme
resent,agency_neg,power_theme
shadow,agency_equal,power_theme
undertake,agency_pos,power_theme
achieve,agency_pos,power_theme
cheer,agency_pos,power_theme
depart,agency_pos,power_theme
need,agency_neg,power_theme
pray,agency_equal,power_theme
promote,agency_pos,power_theme
visit,agency_pos,power_theme
beg,agency_pos,power_theme
copy,agency_pos,power_theme
plead,agency_pos,power_theme
tip,agency_pos,power_theme
uphold,agency_pos,power_theme
benefit,agency_neg,power_theme
celebrate,agency_pos,power_theme
constitute,agency_neg,power_theme
greet,agency_equal,power_theme
hope,agency_equal,power_theme
interest,agency_neg,power_theme
lose,agency_equal,power_theme
mind,agency_equal,power_theme
portray,agency_pos,power_theme
predict,agency_equal,power_theme
undergo,,power_theme
vote,agency_pos,power_theme
want,agency_neg,power_theme
admit,agency_pos,power_theme
announce,agency_pos,power_theme
appeal,agency_neg,power_theme
ask,agency_pos,power_theme
attend,agency_equal,power_theme
await,agency_neg,power_theme
become,agency_pos,power_theme
call,agency_pos,power_theme
concede,agency_pos,power_theme
contribute,agency_pos,power_theme
explain,agency_pos,power_theme
fan,agency_pos,power_theme
fear,agency_neg,power_theme
guard,agency_pos,power_theme
hear,agency_neg,power_theme
listen,agency_pos,power_theme
note,agency_equal,power_theme
owe,agency_neg,power_theme
prefer,agency_neg,power_theme
receive,agency_neg,power_theme
recognize,agency_equal,power_theme
respond,agency_pos,power_theme
suffer,agency_neg,power_theme
thank,agency_pos,power_theme
trace,agency_pos,power_theme
trust,agency_neg,power_theme
witness,agency_neg,power_theme
