snet id,list,sent,POS tag,word num,identified word,replacement string
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Verb,0,add,"['UNK', 'owner', 'irresponsible']"
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Noun,1,owner,"['add', 'UNK', 'irresponsible']"
11405,"['add', 'owner', 'irresponsible']","She added: ""These owners are irresponsible...",Adjective,,,"['add', 'owner', 'UNK']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Verb,1,addict,"['admit', 'UNK', 'tan']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Noun,2,tan,"['admit', 'addict', 'UNK']"
874,"['admit', 'addict', 'tan']",She admits being addicted to tanning when she was 17 and 18.,Adjective,,,"['admit', 'UNK', 'tan']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Verb,0,admit,"['UNK', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Noun,5,job,"['admit', 'hard', 'give', 'call', 'best', 'UNK', 'world', 'doctor', 'tennant']"
8040,"['admit', 'hard', 'give', 'call', 'best', 'job', 'world', 'doctor', 'tennant']","David Tennant has admitted it's hard giving up what he calls ""the best job in the world"" as Doctor Who.",Adjective,4,best,"['admit', 'hard', 'give', 'call', 'UNK', 'job', 'world', 'doctor', 'tennant']"
4179,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']","""I'm afraid people do get a little complacent about the disease by going out and having unsafe sex,"" he said.",Verb,6,go,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'UNK', 'unsafe', 'sex', 'say']"
4179,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']","""I'm afraid people do get a little complacent about the disease by going out and having unsafe sex,"" he said.",Noun,1,people,"['afraid', 'UNK', 'get', 'little', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']"
4179,"['afraid', 'people', 'get', 'little', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']","""I'm afraid people do get a little complacent about the disease by going out and having unsafe sex,"" he said.",Adjective,3,little,"['afraid', 'people', 'get', 'UNK', 'complacent', 'disease', 'go', 'unsafe', 'sex', 'say']"
13693,"['also', 'say', 'bother', 'lose', 'weight', 'show', 'cassidy']","""Natalie Cassidy also says she's not bothered about losing weight during the show.",Verb,2,bother,"['also', 'say', 'UNK', 'lose', 'weight', 'show', 'cassidy']"
13693,"['also', 'say', 'bother', 'lose', 'weight', 'show', 'cassidy']","""Natalie Cassidy also says she's not bothered about losing weight during the show.",Noun,4,weight,"['also', 'say', 'bother', 'lose', 'UNK', 'show', 'cassidy']"
13693,"['also', 'say', 'bother', 'lose', 'weight', 'show', 'cassidy']","""Natalie Cassidy also says she's not bothered about losing weight during the show.",Adjective,,,"['also', 'say', 'bother', 'lose', 'weight', 'UNK', 'cassidy']"
15599,"['although', 'punk', 'band', 'long', 'go', 'announce', 'official', 'dissolution', 'immediately', 'set', 'form', 'distillers']","Although her punk band were long gone, she announced the official dissolution of The Distillers in 2007 and immediately set about forming Spinnerette.",Verb,4,go,"['although', 'punk', 'band', 'long', 'UNK', 'announce', 'official', 'dissolution', 'immediately', 'set', 'form', 'distillers']"
15599,"['although', 'punk', 'band', 'long', 'go', 'announce', 'official', 'dissolution', 'immediately', 'set', 'form', 'distillers']","Although her punk band were long gone, she announced the official dissolution of The Distillers in 2007 and immediately set about forming Spinnerette.",Noun,2,band,"['although', 'punk', 'UNK', 'long', 'go', 'announce', 'official', 'dissolution', 'immediately', 'set', 'form', 'distillers']"
13853,"['armour', 'wear', 'fight', 'position', 'competition', 'take']","""That armour he wears to fight for his position in the competition, he just takes it off.",Verb,2,fight,"['armour', 'wear', 'UNK', 'position', 'competition', 'take']"
13853,"['armour', 'wear', 'fight', 'position', 'competition', 'take']","""That armour he wears to fight for his position in the competition, he just takes it off.",Noun,0,armour,"['UNK', 'wear', 'fight', 'position', 'competition', 'take']"
13853,"['armour', 'wear', 'fight', 'position', 'competition', 'take']","""That armour he wears to fight for his position in the competition, he just takes it off.",Adjective,,,"['armour', 'UNK', 'fight', 'position', 'competition', 'take']"
16560,"['artist', 'soul', 'artist', 'take']","Any R'n'B artist, any soul artist all took from him.",Verb,0,take,"['artist', 'soul', 'artist', 'UNK']"
16560,"['artist', 'soul', 'artist', 'take']","Any R'n'B artist, any soul artist all took from him.",Noun,0,artist,"['UNK', 'soul', 'artist', 'take']"
16560,"['artist', 'soul', 'artist', 'take']","Any R'n'B artist, any soul artist all took from him.",Adjective,,,"['artist', 'soul', 'UNK', 'artist', 'take']"
1406,"['band', 'come', 'along', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']",The band came along way before the songwriting and it was only because he had to pay the bills after pretty much paying for the band's instruments on his credit card that Ryan started penning lyrics for other people at all.,Verb,1,come,"['band', 'UNK', 'along', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']"
1406,"['band', 'come', 'along', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']",The band came along way before the songwriting and it was only because he had to pay the bills after pretty much paying for the band's instruments on his credit card that Ryan started penning lyrics for other people at all.,Noun,0,band,"['UNK', 'come', 'along', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']"
1406,"['band', 'come', 'along', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']",The band came along way before the songwriting and it was only because he had to pay the bills after pretty much paying for the band's instruments on his credit card that Ryan started penning lyrics for other people at all.,Adjective,,,"['band', 'come', 'UNK', 'way', 'songwriting', 'pay', 'bill', 'pretty', 'much', 'pay', 'band', 'instrument', 'credit', 'card', 'start', 'pen', 'lyric', 'people', 'ryan']"
16110,"['bit', 'spoiled', 'brat', 'antonia']","""Antonia on Alisha: ""She's a bit of a spoiled brat.",Noun,2,brat,"['bit', 'spoiled', 'UNK', 'antonia']"
16110,"['bit', 'spoiled', 'brat', 'antonia']","""Antonia on Alisha: ""She's a bit of a spoiled brat.",Adjective,,,"['UNK', 'spoiled', 'brat', 'antonia']"
5019,"['born', 'singer', 'release', 'follow', 'multi', 'million', 'selling', 'debut', 'album', 'also', 'announce', 'last', 'week', 'set', 'first', 'tour', 'next', 'summer', 'london', 'echo']","The London born singer has just released Echo, the follow-up to her multi-million selling debut album, and also announced last week she's setting out on her first UK tour next summer.",Verb,6,selling,"['born', 'singer', 'release', 'follow', 'multi', 'million', 'UNK', 'debut', 'album', 'also', 'announce', 'last', 'week', 'set', 'first', 'tour', 'next', 'summer', 'london', 'echo']"
5019,"['born', 'singer', 'release', 'follow', 'multi', 'million', 'selling', 'debut', 'album', 'also', 'announce', 'last', 'week', 'set', 'first', 'tour', 'next', 'summer', 'london', 'echo']","The London born singer has just released Echo, the follow-up to her multi-million selling debut album, and also announced last week she's setting out on her first UK tour next summer.",Noun,1,singer,"['born', 'UNK', 'release', 'follow', 'multi', 'million', 'selling', 'debut', 'album', 'also', 'announce', 'last', 'week', 'set', 'first', 'tour', 'next', 'summer', 'london', 'echo']"
16158,"['captain', 'admit', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']","The Liverpool captain admitted punching a man in a drunken row over music, but said it was in self-defence.",Verb,1,admit,"['captain', 'UNK', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']"
16158,"['captain', 'admit', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']","The Liverpool captain admitted punching a man in a drunken row over music, but said it was in self-defence.",Noun,0,captain,"['UNK', 'admit', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']"
16158,"['captain', 'admit', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']",,Adjective,3,drunken,"['captain', 'admit', 'punch', 'UNK', 'row', 'music', 'say', 'self', 'defence']"
16158,"['captain', 'admit', 'punch', 'drunken', 'row', 'music', 'say', 'self', 'defence']","The Liverpool captain admitted punching a man in a drunken row over music, but said it was in self-defence.",Adjective,,,"['captain', 'admit', 'UNK', 'drunken', 'row', 'music', 'say', 'self', 'defence']"
11250,"['carry', 'time', 'six', 'seven', 'leave']","""If I carry on, by the time she's six or seven, will she have a mum left?""",Verb,0,carry,"['UNK', 'time', 'six', 'seven', 'leave']"
11250,"['carry', 'time', 'six', 'seven', 'leave']","""If I carry on, by the time she's six or seven, will she have a mum left?""",Noun,1,time,"['carry', 'UNK', 'six', 'seven', 'leave']"
7212,"['claim', 'recently', 'mock', 'rapper', 'video', 'latest', 'single', 'obsession']",It's been claimed recently that Mariah mocked the rapper in the video for her latest single Obsession.,Verb,2,mock,"['claim', 'recently', 'UNK', 'rapper', 'video', 'latest', 'single', 'obsession']"
7212,"['claim', 'recently', 'mock', 'rapper', 'video', 'latest', 'single', 'obsession']",It's been claimed recently that Mariah mocked the rapper in the video for her latest single Obsession.,Noun,3,rapper,"['claim', 'recently', 'mock', 'UNK', 'video', 'latest', 'single', 'obsession']"
7212,"['claim', 'recently', 'mock', 'rapper', 'video', 'latest', 'single', 'obsession']",It's been claimed recently that Mariah mocked the rapper in the video for her latest single Obsession.,Adjective,,,"['claim', 'recently', 'mock', 'rapper', 'video', 'latest', 'single', 'UNK']"
3729,"['commenting', 'prolific', 'speed', 'foursome', 'write', 'join', 'say', 'love', 'mosshart', 'white jack lawrence dean fertita']","""Commenting on the prolific speed at which the foursome write (Mosshart and White are joined by Jack Lawrence and Dean Fertita) she said: ""I love it.",Verb,4,write,"['commenting', 'prolific', 'speed', 'foursome', 'UNK', 'join', 'say', 'love', 'mosshart', 'white jack lawrence dean fertita']"
3729,"['commenting', 'prolific', 'speed', 'foursome', 'write', 'join', 'say', 'love', 'mosshart', 'white jack lawrence dean fertita']","""Commenting on the prolific speed at which the foursome write (Mosshart and White are joined by Jack Lawrence and Dean Fertita) she said: ""I love it.",Noun,2,speed,"['commenting', 'prolific', 'UNK', 'foursome', 'write', 'join', 'say', 'love', 'mosshart', 'white jack lawrence dean fertita']"
14860,"['confirm', 'detail', 'release', 'new', 'album', 'wayne']",Lil Wayne has confirmed details for the release of his new album.,Verb,0,confirm,"['UNK', 'detail', 'release', 'new', 'album', 'wayne']"
14860,"['confirm', 'detail', 'release', 'new', 'album', 'wayne']",Lil Wayne has confirmed details for the release of his new album.,Noun,1,detail,"['confirm', 'UNK', 'release', 'new', 'album', 'wayne']"
14860,"['confirm', 'detail', 'release', 'new', 'album', 'wayne']",Lil Wayne has confirmed details for the release of his new album.,Adjective,,,"['confirm', 'UNK', 'release', 'new', 'album', 'wayne']"
2446,"['could', 'cause', 'big', 'problem']",It could cause him big problems.,Verb,1,cause,"['could', 'UNK', 'big', 'problem']"
2446,"['could', 'cause', 'big', 'problem']",It could cause him big problems.,Noun,3,problem,"['could', 'cause', 'big', 'UNK']"
2446,"['could', 'cause', 'big', 'problem']",It could cause him big problems.,Adjective,2,big,"['could', 'cause', 'UNK', 'problem']"
18050,"['course', 'since', 'still', 'management', 'interest', 'willing', 'defend', 'entertainment', 'mogul', 'burke']","""Of course, since Cowell still has a management interest in Burke, she's willing to defend the entertainment mogul.",Verb,6,defend,"['course', 'since', 'still', 'management', 'interest', 'willing', 'UNK', 'entertainment', 'mogul', 'burke']"
18050,"['course', 'since', 'still', 'management', 'interest', 'willing', 'defend', 'entertainment', 'mogul', 'burke']","""Of course, since Cowell still has a management interest in Burke, she's willing to defend the entertainment mogul.",Noun,3,management,"['course', 'since', 'still', 'UNK', 'interest', 'willing', 'defend', 'entertainment', 'mogul', 'burke']"
18050,"['course', 'since', 'still', 'management', 'interest', 'willing', 'defend', 'entertainment', 'mogul', 'burke']","""Of course, since Cowell still has a management interest in Burke, she's willing to defend the entertainment mogul.",Adjective,,,"['course', 'since', 'still', 'management', 'UNK', 'willing', 'defend', 'entertainment', 'mogul', 'burke']"
16681,"['despite', 'success', 'music', 'business', 'include', 'three', 'year', 'run', 'helm', 'record', 'label', 'star', 'admit', 'still', 'wake', 'pinch', 'jam']","Despite his success in the music business, which includes a three-year run at the helm of record label Def Jam, the star admits that he still wakes up and pinches himself.",Verb,7,run,"['despite', 'success', 'music', 'business', 'include', 'three', 'year', 'UNK', 'helm', 'record', 'label', 'star', 'admit', 'still', 'wake', 'pinch', 'jam']"
16681,"['despite', 'success', 'music', 'business', 'include', 'three', 'year', 'run', 'helm', 'record', 'label', 'star', 'admit', 'still', 'wake', 'pinch', 'jam']","Despite his success in the music business, which includes a three-year run at the helm of record label Def Jam, the star admits that he still wakes up and pinches himself.",Noun,1,success,"['despite', 'UNK', 'music', 'business', 'include', 'three', 'year', 'run', 'helm', 'record', 'label', 'star', 'admit', 'still', 'wake', 'pinch', 'jam']"
18238,"['due', 'start', 'record', 'second', 'album', 'day', 'get', 'back', 'instead', 'metal', 'plate', 'insert', 'hand', 'go', 'week', 'rehab']",He had been due to start recording his second album the day after getting back but instead had to have a metal plate inserted in his hand and went through weeks of rehab.,Verb,11,insert,"['due', 'start', 'record', 'second', 'album', 'day', 'get', 'back', 'instead', 'metal', 'plate', 'UNK', 'hand', 'go', 'week', 'rehab']"
18238,"['due', 'start', 'record', 'second', 'album', 'day', 'get', 'back', 'instead', 'metal', 'plate', 'insert', 'hand', 'go', 'week', 'rehab']",He had been due to start recording his second album the day after getting back but instead had to have a metal plate inserted in his hand and went through weeks of rehab.,Noun,4,album,"['due', 'start', 'record', 'second', 'UNK', 'day', 'get', 'back', 'instead', 'metal', 'plate', 'insert', 'hand', 'go', 'week', 'rehab']"
13752,"['expensive', 'taste', 'may', 'good', 'job', 'could', 'reportedly', 'earn', 'around', 'week', 'two', 'week', 'run', 'panto']","""With such expensive tastes, it may be a good job that Anderson could reportedly earn around £25,000 a week for her two week run in the panto.",Verb,7,earn,"['expensive', 'taste', 'may', 'good', 'job', 'could', 'reportedly', 'UNK', 'around', 'week', 'two', 'week', 'run', 'panto']"
13752,"['expensive', 'taste', 'may', 'good', 'job', 'could', 'reportedly', 'earn', 'around', 'week', 'two', 'week', 'run', 'panto']","""With such expensive tastes, it may be a good job that Anderson could reportedly earn around £25,000 a week for her two week run in the panto.",Noun,1,taste,"['expensive', 'UNK', 'may', 'good', 'job', 'could', 'reportedly', 'earn', 'around', 'week', 'two', 'week', 'run', 'panto']"
13752,"['expensive', 'taste', 'may', 'good', 'job', 'could', 'reportedly', 'earn', 'around', 'week', 'two', 'week', 'run', 'panto']","""With such expensive tastes, it may be a good job that Anderson could reportedly earn around £25,000 a week for her two week run in the panto.",Adjective,,,"['UNK', 'taste', 'may', 'good', 'job', 'could', 'reportedly', 'earn', 'around', 'week', 'two', 'week', 'run', 'panto']"
2484,"['explain', 'desperate', 'start', 'play', 'game']","""He explained why he was so desperate to start playing the game.",Verb,0,explain,"['UNK', 'desperate', 'start', 'play', 'game']"
2484,"['explain', 'desperate', 'start', 'play', 'game']","""He explained why he was so desperate to start playing the game.",Noun,4,game,"['explain', 'desperate', 'start', 'play', 'UNK']"
2484,"['explain', 'desperate', 'start', 'play', 'game']","""He explained why he was so desperate to start playing the game.",Adjective,,,"['explain', 'UNK', 'start', 'play', 'game']"
15689,"['first', 'come', 'think', 'different', 'alicia']",When Alicia first came out I think she was very different.,Verb,2,think,"['first', 'come', 'UNK', 'different', 'person']"
15689,"['first', 'come', 'think', 'different', 'alicia']",When Alicia first came out I think she was very different.,Adjective,,,"['first', 'UNK', 'think', 'different', 'alicia']"
12243,"['growing', 'time', 'want', 'black', 'bully', 'tell', 'want', 'white', 'like', 'everyone', 'else', 'school']","Growing up, at that time, I didn't want to be black because I was bullied and I'd tell my mum that I wanted to be white like everyone else at school.",Verb,6,want,"['growing', 'time', 'want', 'black', 'bully', 'tell', 'UNK', 'white', 'like', 'everyone', 'else', 'school']"
12243,"['growing', 'time', 'want', 'black', 'bully', 'tell', 'want', 'white', 'like', 'everyone', 'else', 'school']","Growing up, at that time, I didn't want to be black because I was bullied and I'd tell my mum that I wanted to be white like everyone else at school.",Noun,1,time,"['growing', 'UNK', 'want', 'black', 'bully', 'tell', 'want', 'white', 'like', 'everyone', 'else', 'school']"
17172,"['hard', 'year', 'want', 'nice', 'week', 'enjoy', 'say']","It's been such a hard year, you want to have a nice week, and enjoy yourself,"" she said.",Verb,2,want,"['hard', 'year', 'UNK', 'nice', 'week', 'enjoy', 'say']"
17172,"['hard', 'year', 'want', 'nice', 'week', 'enjoy', 'say']","It's been such a hard year, you want to have a nice week, and enjoy yourself,"" she said.",Noun,1,year,"['hard', 'UNK', 'want', 'nice', 'week', 'enjoy', 'say']"
17172,"['hard', 'year', 'want', 'nice', 'week', 'enjoy', 'say']","It's been such a hard year, you want to have a nice week, and enjoy yourself,"" she said.",Adjective,,,"['hard', 'UNK', 'want', 'nice', 'week', 'enjoy', 'say']"
18802,"['introducing', 'win', 'year', 'award', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass', 'gouldingafter florence machine']",After winning this year's award Florence and The Machine had the UK's best selling debut album of the year until she was recently surpassed by JLS and Susan Boyle.,Verb,0,introducing,"['UNK', 'win', 'year', 'award', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass']"
18802,"['introducing', 'win', 'year', 'award', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass', 'gouldingafter florence machine']",After winning this year's award Florence and The Machine had the UK's best selling debut album of the year until she was recently surpassed by JLS and Susan Boyle.,Noun,3,award,"['introducing', 'win', 'year', 'UNK', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass']"
18802,"['introducing', 'win', 'year', 'award', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass', 'gouldingafter florence machine']",After winning this year's award Florence and The Machine had the UK's best selling debut album of the year until she was recently surpassed by JLS and Susan Boyle.,Adjective,,,"['introducing', 'UNK', 'year', 'award', 'best', 'sell', 'debut', 'album', 'year', 'recently', 'surpass', 'gouldingafter florence machine']"
623,"['let', 'tell', 'outside', 'show', 'sit', 'cocky', 'certainly', 'confident', 'want', 'break', 'say']","""Let me tell you, outside the show, when you sit with him, he's not cocky, he's certainly not confident, he just wants a break,"" he said.",Verb,7,want,"['let', 'tell', 'outside', 'show', 'sit', 'cocky', 'certainly', 'confident', 'UNK', 'break', 'say']"
623,"['let', 'tell', 'outside', 'show', 'sit', 'cocky', 'certainly', 'confident', 'want', 'break', 'say']","""Let me tell you, outside the show, when you sit with him, he's not cocky, he's certainly not confident, he just wants a break,"" he said.",Noun,3,show,"['let', 'tell', 'outside', 'UNK', 'sit', 'cocky', 'certainly', 'confident', 'want', 'break', 'say']"
6579,"['lose', 'count', 'honest', 'say']","I've lost count to be honest,"" he said.",Verb,0,lose,"['UNK', 'count', 'honest', 'say']"
6579,"['lose', 'count', 'honest', 'say']","I've lost count to be honest,"" he said.",Noun,1,count,"['lose', 'UNK', 'honest', 'say']"
6579,"['lose', 'count', 'honest', 'say']","I've lost count to be honest,"" he said.",Adjective,,,"['UNK', 'count', 'honest', 'say']"
1193,"['lose', 'force', 'public', 'vote', 'four', 'judge', 'could', 'decide', 'save']",She lost out to Lloyd Daniels and was forced out by the public vote when the four judges couldn't decide who to save.,Verb,1,force,"['lose', 'UNK', 'public', 'vote', 'four', 'judge', 'could', 'decide', 'save']"
1193,"['lose', 'force', 'public', 'vote', 'four', 'judge', 'could', 'decide', 'save']",She lost out to Lloyd Daniels and was forced out by the public vote when the four judges couldn't decide who to save.,Noun,5,judge,"['lose', 'force', 'public', 'vote', 'four', 'UNK', 'could', 'decide', 'save']"
17351,"['manage', 'turn', 'life', 'around', 'leon']",Leon managed to turn his life around.,Verb,0,manage,"['UNK', 'turn', 'life', 'around', 'leon']"
17351,"['manage', 'turn', 'life', 'around', 'leon']",Leon managed to turn his life around.,Noun,2,life,"['manage', 'turn', 'UNK', 'around', 'leon']"
17351,"['manage', 'turn', 'life', 'around', 'leon']",Leon managed to turn his life around.,Adjective,,,"['manage', 'turn', 'life', 'around', 'UNK']"
12618,"['military', 'sure', 'live', 'promise', 'make']","Anna, 17, from Watertown New York has a brother in the military and is not sure Barack Obama can live up to the promises he made.",Verb,2,live,"['military', 'sure', 'UNK', 'promise', 'make']"
12618,"['military', 'sure', 'live', 'promise', 'make']","Anna, 17, from Watertown New York has a brother in the military and is not sure Barack Obama can live up to the promises he made.",Noun,0,military,"['UNK', 'sure', 'live', 'promise', 'make']"
4757,"['nature', 'internet', 'mean', 'impossible', 'tell', 'whether', 'technical', 'glitch', 'cause', 'web', 'fee', 'wi', 'fi', 'house', 'speed', 'internet', 'connection', 'dave']","The nature of the internet means it's impossible to tell whether these technical glitches were caused by the web-feed itself, the wi-fi in Dave's house or the speed of his internet connection.",Verb,4,tell,"['nature', 'internet', 'mean', 'impossible', 'UNK', 'whether', 'technical', 'glitch', 'cause', 'web', 'fee', 'wi', 'fi', 'house', 'speed', 'internet', 'connection', 'dave']"
4757,"['nature', 'internet', 'mean', 'impossible', 'tell', 'whether', 'technical', 'glitch', 'cause', 'web', 'fee', 'wi', 'fi', 'house', 'speed', 'internet', 'connection', 'dave']","The nature of the internet means it's impossible to tell whether these technical glitches were caused by the web-feed itself, the wi-fi in Dave's house or the speed of his internet connection.",Noun,0,nature,"['UNK', 'internet', 'mean', 'impossible', 'tell', 'whether', 'technical', 'glitch', 'cause', 'web', 'fee', 'wi', 'fi', 'house', 'speed', 'internet', 'connection', 'dave']"
9008,"['newsbeat', 'catch', 'festival', 'busy', 'update', 'twitter', 'page']",Newsbeat caught up with him at the Boardmasters festival in Newquay where he was busy updating his Twitter page.,Verb,1,catch,"['newsbeat', 'UNK', 'festival', 'busy', 'update', 'twitter', 'page']"
9008,"['newsbeat', 'catch', 'festival', 'busy', 'update', 'twitter', 'page']",Newsbeat caught up with him at the Boardmasters festival in Newquay where he was busy updating his Twitter page.,Noun,2,festival,"['newsbeat', 'catch', 'UNK', 'busy', 'update', 'twitter', 'page']"
9008,"['newsbeat', 'catch', 'festival', 'busy', 'update', 'twitter', 'page']",Newsbeat caught up with him at the Boardmasters festival in Newquay where he was busy updating his Twitter page.,Adjective,,,"['newsbeat', 'catch', 'festival', 'UNK', 'update', 'twitter', 'page']"
1510,"['obviously', 'one', 'school', 'get', 'love', 'say']","""She's obviously one of those girls at school who got no love,"" she said.",Verb,5,say,"['obviously', 'one', 'school', 'get', 'love', 'UNK']"
